pt,reporter_group,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
"HALLUCINATION, VISUAL",Consumer,9,1000,1437,1144866,7.6627,4.0363,14.5475,0.0000,True
GASTROOESOPHAGEAL REFLUX DISEASE,Consumer,26,1000,5680,1144866,5.4739,3.7181,8.0587,0.0000,True
ABNORMAL BEHAVIOUR,Consumer,5,1000,1237,1144866,5.1220,2.2114,11.8634,0.0001,True
EXTRAPYRAMIDAL DISORDER,Consumer,2,1000,153,1144866,,,,,False
MOVEMENT DISORDER,Consumer,6,1000,1894,1144866,3.9523,1.8252,8.5583,0.0005,True
ADVERSE EVENT,Consumer,21,1000,5306,1144866,4.7284,3.0815,7.2555,0.0000,True
SEDATION,Consumer,6,1000,923,1144866,8.1420,3.7548,17.6551,0.0000,True
HEART RATE INCREASED,Consumer,18,1000,7699,1144866,2.7851,1.7573,4.4141,0.0000,True
PRODUCT SUPPLY ISSUE,Consumer,3,1000,1085,1144866,3.7042,1.2947,10.5979,0.0146,True
INCREASED APPETITE,Consumer,3,1000,2194,1144866,1.8279,0.6394,5.2253,0.2603,False
URINARY INCONTINENCE,Consumer,5,1000,1645,1144866,3.8468,1.6616,8.9057,0.0017,True
AGGRESSION,Consumer,5,1000,1857,1144866,3.4059,1.4714,7.8838,0.0042,True
AGITATION,Consumer,11,1000,2445,1144866,5.4491,3.0428,9.7584,0.0000,True
APATHY,Consumer,3,1000,1014,1144866,3.9644,1.3855,11.3438,0.0102,True
DYSKINESIA,Consumer,8,1000,2072,1144866,4.7366,2.4080,9.3170,0.0000,True
RETCHING,Consumer,4,1000,1583,1144866,3.2658,1.2920,8.2553,0.0124,True
HYPERSOMNIA,Consumer,3,1000,2215,1144866,1.8105,0.6334,5.1756,0.2680,False
TACHYCARDIA,Consumer,9,1000,3307,1144866,3.3131,1.7472,6.2824,0.0002,True
THERAPEUTIC RESPONSE UNEXPECTED,Consumer,6,1000,2322,1144866,3.2209,1.4878,6.9727,0.0030,True
HALLUCINATION,Consumer,17,1000,6159,1144866,3.2958,2.0530,5.2909,0.0000,True
SUICIDAL IDEATION,Consumer,8,1000,4619,1144866,2.1158,1.0764,4.1586,0.0297,True
SOMNOLENCE,Consumer,33,1000,11308,1144866,3.4780,2.4633,4.9107,0.0000,True
GASTROINTESTINAL DISORDER,Consumer,19,1000,8495,1144866,2.6612,1.6990,4.1683,0.0000,True
TREMOR,Consumer,19,1000,8738,1144866,2.5865,1.6513,4.0512,0.0000,True
NIGHT SWEATS,Consumer,3,1000,2402,1144866,1.6692,0.5839,4.7711,0.3390,False
ABDOMINAL DISCOMFORT,Consumer,24,1000,12242,1144866,2.3237,1.5556,3.4712,0.0000,True
IRRITABILITY,Consumer,7,1000,2948,1144866,2.9281,1.4262,6.0113,0.0034,True
ANGIOEDEMA,Consumer,1,1000,1156,1144866,,,,,False
DYSPHAGIA,Consumer,13,1000,4540,1144866,3.4403,2.0091,5.8910,0.0000,True
