pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
HYPERTENSION,11,11983,758,1009215,747,11972,996485,9.0002,1.2762,0.7190,2.2654,0.2531,1.2805,0.7150,2.2931,0.3526,-0.4812,1.1864,False,False,False,0
ANXIETY,4,7546,758,1009215,754,7542,1000915,5.6676,0.7927,0.3154,1.9921,0.2426,0.7915,0.3132,1.9999,-0.3339,-1.6668,0.9991,False,False,False,0
ABDOMINAL PAIN UPPER,8,6774,758,1009215,750,6766,1001691,5.0878,1.6691,0.8550,3.2582,1.1522,1.6766,0.8524,3.2979,0.7394,-0.2305,1.7092,False,False,False,0
DYSPHAGIA,4,5089,758,1009215,754,5085,1003372,3.8222,1.1757,0.4678,2.9549,0.0273,1.1767,0.4656,2.9739,0.2344,-1.0986,1.5674,False,False,False,0
CONSTIPATION,51,7352,758,1009215,707,7301,1001156,5.5219,9.3715,7.1922,12.2112,369.3280,9.9809,7.5147,13.2566,3.2203,2.8263,3.6143,True,True,True,3
INCREASED APPETITE,5,469,758,1009215,753,464,1007993,0.3523,15.7323,6.8077,36.3568,48.8983,15.8399,6.8129,36.8273,3.9622,2.7565,5.1680,True,True,True,3
AKATHISIA,3,622,758,1009215,755,619,1007838,0.4672,7.5066,2.6316,21.4128,8.8577,7.5367,2.6294,21.6029,2.9032,1.3918,4.4147,True,True,True,3
HICCUPS,3,367,758,1009215,755,364,1008093,0.2756,12.7581,4.4633,36.4682,17.9697,12.8126,4.4608,36.8010,3.6636,2.1521,5.1750,True,True,True,3
HOSPITALISATION,4,8105,758,1009215,754,8101,1000356,6.0875,0.7380,0.2937,1.8546,0.4177,0.7364,0.2915,1.8609,-0.4370,-1.7699,0.8960,False,False,False,0
ERUCTATION,4,397,758,1009215,754,393,1008064,0.2982,15.1944,6.0161,38.3755,34.4204,15.2791,6.0166,38.8009,3.9129,2.5799,5.2459,True,True,True,3
"HALLUCINATION, AUDITORY",11,880,758,1009215,747,869,1007588,0.6609,17.5729,9.8645,31.3048,146.7045,17.8279,9.9203,32.0389,4.1192,3.2853,4.9530,True,True,True,3
RASH,8,31911,758,1009215,750,31903,976554,23.9677,0.3540,0.1814,0.6908,10.3158,0.3467,0.1763,0.6817,-1.4965,-2.4664,-0.5266,False,False,False,0
BLOOD PRESSURE INCREASED,11,5970,758,1009215,747,5959,1002498,4.4839,2.5639,1.4440,4.5525,8.1258,2.5880,1.4447,4.6359,1.3577,0.5239,2.1916,True,True,True,3
URTICARIA,3,10501,758,1009215,755,10498,997959,7.8871,0.4430,0.1557,1.2600,2.4678,0.4404,0.1541,1.2588,-1.1732,-2.6846,0.3383,False,False,False,0
HEPATIC ENZYME INCREASED,3,5284,758,1009215,755,5281,1003176,3.9687,0.8805,0.3095,2.5051,0.0557,0.8799,0.3078,2.5157,-0.1824,-1.6939,1.3291,False,False,False,0
TACHYCARDIA,15,5578,758,1009215,743,5563,1002894,4.1895,3.7017,2.2600,6.0631,25.5345,3.7580,2.2709,6.2188,1.8863,1.1681,2.6046,True,True,True,3
