pt,a,expected,n_drug,n_reaction,N,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ebgm,eb05,ebgm_Q,ic,ic025,ic975,signal_prr,signal_ror,signal_ebgm,signal_bcpnn,n_methods_signal,ror_pvalue,ror_fdr,signal_ror_fdr
NEGATIVE THOUGHTS,3,0.1959,1423,249,1808849,18.0220,6.2827,51.6963,27.1274,18.0639,6.2812,51.9495,11.3917,4.2263,0.1553,4.1559,2.6444,5.6673,True,True,True,True,4,0.0000,0.0000,True
SEDATION COMPLICATION,3,0.2525,1423,321,1808849,13.9479,4.8706,39.9430,20.0217,13.9798,4.8692,40.1372,9.4381,3.5286,0.1292,3.7901,2.2786,5.3016,True,True,True,True,4,0.0000,0.0000,True
VIOLENCE-RELATED SYMPTOM,3,0.0448,1423,57,1808849,81.5121,27.6941,239.9147,134.5356,81.7105,27.6922,241.1009,43.8669,11.6442,0.6618,6.2733,4.7618,7.7847,True,True,True,True,4,0.0000,0.0000,True
INCREASED APPETITE,8,1.7756,1423,2257,1808849,4.7961,2.4504,9.3870,18.4934,4.8188,2.4522,9.4696,4.4155,2.4179,0.0872,2.2584,1.2885,3.2283,True,True,True,True,4,0.0000,0.0000,True
RETCHING,6,1.4530,1423,1847,1808849,4.4801,2.0777,9.6604,11.2922,4.4961,2.0778,9.7289,4.0461,2.0180,0.0873,2.1605,1.0514,3.2696,True,True,True,True,4,0.0001,0.0004,True
HICCUPS,4,0.5641,1423,717,1808849,8.0051,3.1730,20.1961,15.2999,8.0274,3.1725,20.3113,6.4605,2.7592,0.0987,2.9945,1.6615,4.3275,True,True,True,True,4,0.0000,0.0000,True
ANURIA,3,0.4366,1423,555,1808849,8.0406,2.8146,22.9701,9.7621,8.0579,2.8134,23.0789,6.1390,2.3095,0.0994,3.0011,1.4897,4.5126,True,True,True,True,4,0.0001,0.0003,True
EXTRAPYRAMIDAL DISORDER,3,0.7064,1423,898,1808849,4.9608,1.7387,14.1539,4.5594,4.9706,1.7377,14.2184,4.0798,1.5363,0.0901,2.3074,0.7959,3.8189,True,True,False,True,3,0.0028,0.0061,True
SOMNOLENCE,32,12.7632,1423,16224,1808849,2.5475,1.8129,3.5799,27.7769,2.5837,1.8241,3.6596,2.5095,1.8630,0.0868,1.3479,0.8519,1.8439,True,True,False,True,3,0.0000,0.0000,True
ABDOMINAL DISCOMFORT,28,12.5233,1423,15919,1808849,2.2763,1.5821,3.2750,18.0840,2.3024,1.5884,3.3372,2.2403,1.6287,0.0882,1.1858,0.6561,1.7155,True,True,False,True,3,0.0000,0.0000,True
ABNORMAL BEHAVIOUR,5,1.3043,1423,1658,1808849,4.2219,1.8308,9.7358,7.8429,4.2344,1.8303,9.7962,3.7635,1.7572,0.0875,2.0752,0.8695,3.2809,True,True,False,True,3,0.0007,0.0019,True
HALLUCINATION,14,5.9057,1423,7507,1808849,2.4560,1.4710,4.1006,9.8143,2.4710,1.4722,4.1474,2.3780,1.5107,0.0879,1.2953,0.5527,2.0379,True,True,False,True,3,0.0006,0.0016,True
DYSPHAGIA,14,6.3509,1423,8073,1808849,2.2836,1.3678,3.8125,8.0899,2.2968,1.3684,3.8548,2.2139,1.4064,0.0887,1.1904,0.4478,1.9330,True,True,False,True,3,0.0016,0.0038,True
PRODUCT SUPPLY ISSUE,4,0.9251,1423,1176,1808849,4.8714,1.9331,12.2759,7.1766,4.8836,1.9323,12.3428,4.1819,1.7874,0.0890,2.2811,0.9481,3.6140,True,True,False,True,3,0.0008,0.0020,True
THERAPEUTIC RESPONSE UNEXPECTED,6,2.3373,1423,2971,1808849,2.7821,1.2909,5.9958,4.2902,2.7902,1.2901,6.0346,2.5786,1.2858,0.0881,1.4749,0.3658,2.5840,True,True,False,True,3,0.0091,0.0185,True
PRODUCT ADMINISTRATION ERROR,6,2.1776,1423,2768,1808849,2.9865,1.3857,6.4368,5.0811,2.9956,1.3850,6.4791,2.7594,1.3760,0.0876,1.5770,0.4679,2.6861,True,True,False,True,3,0.0053,0.0112,True
DYSKINESIA,7,2.3199,1423,2949,1808849,3.2352,1.5831,6.6114,7.5498,3.2470,1.5829,6.6607,3.0099,1.5806,0.0868,1.6921,0.6595,2.7246,True,True,False,True,3,0.0013,0.0031,True
HYPERSOMNIA,6,1.9101,1423,2428,1808849,3.4057,1.5799,7.3411,6.7615,3.4167,1.5795,7.3908,3.1264,1.5592,0.0870,1.7660,0.6569,2.8751,True,True,False,True,3,0.0018,0.0041,True
TREMOR,23,9.0642,1423,11522,1808849,2.5938,1.7363,3.8749,20.0591,2.6206,1.7424,3.9412,2.5404,1.7858,0.0869,1.3738,0.7905,1.9571,True,True,False,True,3,0.0000,0.0000,True
AGITATION,10,3.5747,1423,4544,1808849,2.9391,1.6076,5.3732,9.8540,2.9535,1.6083,5.4238,2.7982,1.6337,0.0867,1.5538,0.6812,2.4265,True,True,False,True,3,0.0005,0.0013,True
DIZZINESS,61,31.6083,1423,40179,1808849,1.9457,1.5234,2.4851,27.0297,1.9884,1.5398,2.5678,1.9326,1.5593,0.0901,0.9598,0.5992,1.3203,False,True,False,True,2,0.0000,0.0000,True
ABDOMINAL PAIN UPPER,28,14.9486,1423,19002,1808849,1.9064,1.3251,2.7428,10.6588,1.9250,1.3281,2.7900,1.8793,1.3661,0.0907,0.9304,0.4007,1.4601,False,True,False,True,2,0.0005,0.0014,True
ANGIOEDEMA,6,2.9414,1423,3739,1808849,2.2098,1.0255,4.7616,2.2319,2.2153,1.0245,4.7903,2.0664,1.0303,0.0906,1.1432,0.0341,2.2523,False,True,False,True,2,0.0432,0.0800,False
INSOMNIA,28,15.5387,1423,19752,1808849,1.8340,1.2748,2.6384,9.3166,1.8510,1.2771,2.6828,1.8084,1.3146,0.0914,0.8746,0.3449,1.4042,False,True,False,True,2,0.0011,0.0028,True
ORTHOSTATIC HYPOTENSION,3,0.9739,1423,1238,1808849,3.5956,1.2609,10.2531,2.3948,3.6020,1.2599,10.2978,3.0635,1.1533,0.0891,1.8444,0.3329,3.3558,False,True,False,True,2,0.0168,0.0331,True
MUSCLE TWITCHING,3,1.2241,1423,1556,1808849,2.8596,1.0031,8.1518,1.3321,2.8642,1.0022,8.1860,2.4847,0.9351,0.0901,1.5147,0.0032,3.0261,False,True,False,True,2,0.0495,0.0894,False
BLEPHAROSPASM,3,0.9904,1423,1259,1808849,3.5355,1.2399,10.0815,2.3042,3.5418,1.2389,10.1254,3.0172,1.1359,0.0891,1.8201,0.3087,3.3316,False,True,False,True,2,0.0183,0.0347,True
OFF LABEL USE,97,106.6175,1423,135527,1808849,0.9138,0.7544,1.1068,0.8435,0.9074,0.7387,1.1147,0.9115,0.7693,0.1071,-0.1295,-0.4158,0.1569,False,False,False,False,0,0.3548,0.4566,False
DRUG INEFFECTIVE,34,82.7627,1423,105204,1808849,0.4164,0.2994,0.5790,29.9057,0.4019,0.2867,0.5634,0.4135,0.3097,0.1355,-1.2629,-1.7443,-0.7815,False,False,False,False,0,0.0000,0.0000,True
DIARRHOEA,30,48.9296,1423,62197,1808849,0.6227,0.4383,0.8847,7.1945,0.6145,0.4292,0.8797,0.6174,0.4537,0.1200,-0.6824,-1.1944,-0.1704,False,False,False,False,0,0.0078,0.0163,True
ADVERSE DRUG REACTION,9,8.2791,1423,10524,1808849,1.1467,0.6082,2.1618,0.0059,1.1477,0.6062,2.1729,1.1076,0.6276,0.1026,0.1979,-0.7195,1.1153,False,False,False,False,0,0.6724,0.7263,False
PALPITATIONS,10,7.0503,1423,8962,1808849,1.4887,0.8146,2.7206,0.8561,1.4923,0.8129,2.7395,1.4379,0.8393,0.0963,0.5740,-0.2986,1.4467,False,False,False,False,0,0.1965,0.2879,False
HOSPITALISATION,11,13.8127,1423,17558,1808849,0.8318,0.4677,1.4795,0.3913,0.8305,0.4647,1.4840,0.8105,0.4851,0.1113,-0.2649,-1.0987,0.5689,False,False,False,False,0,0.5305,0.6147,False
MALAISE,11,25.9733,1423,33016,1808849,0.4422,0.2487,0.7865,8.2215,0.4377,0.2450,0.7821,0.4322,0.2586,0.1342,-1.1759,-2.0098,-0.3421,False,False,False,False,0,0.0053,0.0112,True
ANXIETY,12,16.2569,1423,20665,1808849,0.7682,0.4423,1.3343,0.8789,0.7661,0.4389,1.3372,0.7505,0.4593,0.1137,-0.3797,-1.1795,0.4201,False,False,False,False,0,0.3485,0.4525,False
CONFUSIONAL STATE,12,9.7762,1423,12427,1808849,1.2779,0.7357,2.2198,0.3063,1.2804,0.7335,2.2350,1.2434,0.7611,0.0995,0.3540,-0.4458,1.1538,False,False,False,False,0,0.3846,0.4783,False
ABDOMINAL PAIN,14,16.9728,1423,21575,1808849,0.8536,0.5114,1.4247,0.3649,0.8521,0.5078,1.4297,0.8362,0.5311,0.1102,-0.2277,-0.9703,0.5149,False,False,False,False,0,0.5443,0.6197,False
FEELING ABNORMAL,13,11.6493,1423,14808,1808849,1.1581,0.6809,1.9698,0.0627,1.1596,0.6783,1.9825,1.1302,0.7054,0.1018,0.2122,-0.5574,0.9818,False,False,False,False,0,0.5883,0.6646,False
CONDITION AGGRAVATED,13,31.5761,1423,40138,1808849,0.4270,0.2511,0.7262,10.5910,0.4216,0.2466,0.7206,0.4188,0.2613,0.1354,-1.2264,-1.9960,-0.4568,False,False,False,False,0,0.0016,0.0037,True
PRODUCT DOSE OMISSION ISSUE,13,51.9080,1423,65983,1808849,0.2597,0.1527,0.4417,29.5182,0.2527,0.1478,0.4318,0.2549,0.1590,0.1582,-1.9435,-2.7131,-1.1739,False,False,False,False,0,0.0000,0.0000,True
WEIGHT DECREASED,23,19.6908,1423,25030,1808849,1.1927,0.7986,1.7814,0.4067,1.1960,0.7954,1.7983,1.1762,0.8268,0.1005,0.2546,-0.3287,0.8379,False,False,False,False,0,0.3898,0.4808,False
HEADACHE,28,40.0881,1423,50958,1808849,0.7103,0.4938,1.0217,3.4495,0.7043,0.4860,1.0207,0.7035,0.5114,0.1155,-0.4927,-1.0224,0.0369,False,False,False,False,0,0.0641,0.1115,False
HYPERTENSION,18,15.0895,1423,19181,1808849,1.2253,0.7790,1.9273,0.3895,1.2283,0.7762,1.9435,1.2034,0.8072,0.1000,0.2934,-0.3640,0.9509,False,False,False,False,0,0.3798,0.4764,False
FATIGUE,21,57.4825,1423,73069,1808849,0.3736,0.2456,0.5683,23.4907,0.3640,0.2377,0.5573,0.3693,0.2552,0.1405,-1.4193,-2.0291,-0.8095,False,False,False,False,0,0.0000,0.0000,True
BLOOD PRESSURE INCREASED,15,10.5589,1423,13422,1808849,1.4674,0.8941,2.4082,1.4832,1.4725,0.8923,2.4298,1.4336,0.9250,0.0961,0.5532,-0.1650,1.2715,False,False,False,False,0,0.1300,0.2091,False
DECREASED APPETITE,16,17.9373,1423,22801,1808849,0.9191,0.5688,1.4852,0.1167,0.9182,0.5650,1.4921,0.9024,0.5905,0.1079,-0.1210,-0.8172,0.5751,False,False,False,False,0,0.7304,0.7721,False
CHEST PAIN,16,10.3866,1423,13203,1808849,1.5881,0.9827,2.5665,2.5378,1.5950,0.9814,2.5922,1.5525,1.0160,0.0944,0.6672,-0.0289,1.3633,False,False,False,False,0,0.0595,0.1049,False
RASH,16,34.7464,1423,44168,1808849,0.4743,0.2936,0.7664,9.8293,0.4682,0.2881,0.7607,0.4669,0.3054,0.1308,-1.0749,-1.7710,-0.3788,False,False,False,False,0,0.0022,0.0048,True
PRURITUS,6,38.4667,1423,48897,1808849,0.1687,0.0784,0.3634,27.3246,0.1649,0.0763,0.3564,0.1620,0.0805,0.1834,-2.5656,-3.6747,-1.4565,False,False,False,False,0,0.0000,0.0000,True
DYSPNOEA,6,37.8397,1423,48100,1808849,0.1715,0.0797,0.3694,26.6863,0.1677,0.0776,0.3625,0.1647,0.0818,0.1825,-2.5419,-3.6510,-1.4328,False,False,False,False,0,0.0000,0.0000,True
DYSPHONIA,6,4.2237,1423,5369,1808849,1.5382,0.7140,3.3138,0.3871,1.5407,0.7126,3.3308,1.4533,0.7243,0.0967,0.6213,-0.4878,1.7304,False,False,False,False,0,0.2719,0.3691,False
BRAIN FOG,7,4.9262,1423,6262,1808849,1.5218,0.7450,3.1084,0.5049,1.5245,0.7435,3.1258,1.4490,0.7606,0.0965,0.6058,-0.4267,1.6383,False,False,False,False,0,0.2497,0.3438,False
URTICARIA,7,13.7985,1423,17540,1808849,0.5429,0.2659,1.1087,2.9055,0.5405,0.2637,1.1079,0.5233,0.2744,0.1269,-0.8801,-1.9126,0.1524,False,False,False,False,0,0.0929,0.1545,False
URINARY TRACT INFECTION,7,13.5200,1423,17186,1808849,0.5541,0.2714,1.1315,2.7084,0.5518,0.2692,1.1310,0.5340,0.2800,0.1262,-0.8507,-1.8832,0.1818,False,False,False,False,0,0.1044,0.1717,False
VISUAL IMPAIRMENT,7,9.7321,1423,12371,1808849,0.7699,0.3770,1.5723,0.5159,0.7687,0.3750,1.5757,0.7401,0.3883,0.1146,-0.3764,-1.4089,0.6561,False,False,False,False,0,0.4725,0.5595,False
ASTHENIA,7,25.2503,1423,32097,1808849,0.2966,0.1453,0.6057,12.7134,0.2929,0.1429,0.6004,0.2865,0.1501,0.1530,-1.7519,-2.7844,-0.7193,False,False,False,False,0,0.0008,0.0020,True
DEATH,8,52.6074,1423,66872,1808849,0.1614,0.0825,0.3154,38.4307,0.1563,0.0796,0.3068,0.1565,0.0855,0.1851,-2.6302,-3.6001,-1.6604,False,False,False,False,0,0.0000,0.0000,True
DRUG INTOLERANCE,9,7.7536,1423,9856,1808849,1.2245,0.6495,2.3085,0.0723,1.2260,0.6475,2.3212,1.1817,0.6697,0.1009,0.2925,-0.6249,1.2099,False,False,False,False,0,0.5316,0.6147,False
ILLNESS,10,19.2259,1423,24439,1808849,0.5455,0.2986,0.9968,4.0177,0.5422,0.2954,0.9951,0.5315,0.3101,0.1260,-0.8732,-1.7458,-0.0006,False,False,False,False,0,0.0482,0.0880,False
DEHYDRATION,9,7.7796,1423,9889,1808849,1.2204,0.6473,2.3008,0.0671,1.2219,0.6453,2.3134,1.1778,0.6674,0.1010,0.2877,-0.6298,1.2051,False,False,False,False,0,0.5384,0.6177,False
CHILLS,8,7.2659,1423,9236,1808849,1.1691,0.5979,2.2859,0.0076,1.1701,0.5960,2.2972,1.1242,0.6152,0.1023,0.2257,-0.7441,1.1956,False,False,False,False,0,0.6481,0.7105,False
THERAPY NON-RESPONDER,8,5.3967,1423,6860,1808849,1.5744,0.8051,3.0789,0.8235,1.5779,0.8036,3.0981,1.5068,0.8248,0.0956,0.6548,-0.3151,1.6247,False,False,False,False,0,0.1852,0.2769,False
DEPRESSION,8,11.2850,1423,14345,1808849,0.7525,0.3849,1.4712,0.6934,0.7510,0.3826,1.4742,0.7270,0.3977,0.1151,-0.4094,-1.3793,0.5605,False,False,False,False,0,0.4053,0.4958,False
MUSCULAR WEAKNESS,8,7.5011,1423,9535,1808849,1.1324,0.5791,2.2142,0.0000,1.1332,0.5772,2.2247,1.0894,0.5962,0.1031,0.1798,-0.7901,1.1497,False,False,False,False,0,0.7164,0.7628,False
THERAPY INTERRUPTED,10,11.9899,1423,15241,1808849,0.8750,0.4788,1.5989,0.1869,0.8740,0.4762,1.6043,0.8501,0.4961,0.1099,-0.1920,-1.0646,0.6807,False,False,False,False,0,0.6640,0.7225,False
WEIGHT INCREASED,10,17.0656,1423,21693,1808849,0.6146,0.3364,1.1230,2.5587,0.6118,0.3333,1.1228,0.5985,0.3492,0.1216,-0.7012,-1.5739,0.1714,False,False,False,False,0,0.1127,0.1833,False
