drug_a,drug_b,pt,a_cobenfy,n_cobenfy,pct_cobenfy,a_comparator,n_comparator,pct_comparator,ror,ror_lower95,ror_upper95,p_value,bonferroni_sig
xanomeline-trospium,aripiprazole,DYSPEPSIA,65,1758,3.6974,39,6707,0.5815,6.5296,4.3838,9.7258,0.0000,True
xanomeline-trospium,aripiprazole,DIARRHOEA,38,1758,2.1615,111,6707,1.6550,1.3239,0.9143,1.9170,0.1374,False
xanomeline-trospium,aripiprazole,TACHYCARDIA,24,1758,1.3652,71,6707,1.0586,1.3111,0.8261,2.0807,0.2504,False
xanomeline-trospium,aripiprazole,HYPERTENSION,25,1758,1.4221,125,6707,1.8637,0.7715,0.5024,1.1849,0.2361,False
xanomeline-trospium,aripiprazole,BLOOD PRESSURE INCREASED,21,1758,1.1945,12,6707,0.1789,6.6281,3.2942,13.3358,0.0000,True
xanomeline-trospium,aripiprazole,WEIGHT INCREASED,13,1758,0.7395,421,6707,6.2770,0.1154,0.0669,0.1988,0.0000,True
xanomeline-trospium,aripiprazole,HYPERGLYCAEMIA,0,1758,0.0000,23,6707,0.3429,0.0809,0.0049,1.3322,0.0785,False
xanomeline-trospium,aripiprazole,DIABETES MELLITUS,0,1758,0.0000,60,6707,0.8946,0.0312,0.0019,0.5055,0.0147,False
xanomeline-trospium,aripiprazole,METABOLIC SYNDROME,0,1758,0.0000,28,6707,0.4175,0.0666,0.0041,1.0921,0.0577,False
xanomeline-trospium,aripiprazole,BLOOD GLUCOSE INCREASED,2,1758,0.1138,46,6707,0.6859,0.2039,0.0571,0.7287,0.0144,False
xanomeline-trospium,aripiprazole,DYSLIPIDAEMIA,0,1758,0.0000,32,6707,0.4771,0.0584,0.0036,0.9543,0.0463,False
xanomeline-trospium,aripiprazole,DYSTONIA,1,1758,0.0569,193,6707,2.8776,0.0287,0.0058,0.1434,0.0000,True
xanomeline-trospium,aripiprazole,AKATHISIA,8,1758,0.4551,279,6707,4.1598,0.1117,0.0563,0.2214,0.0000,True
xanomeline-trospium,aripiprazole,PARKINSONISM,2,1758,0.1138,164,6707,2.4452,0.0566,0.0162,0.1976,0.0000,True
xanomeline-trospium,aripiprazole,TARDIVE DYSKINESIA,2,1758,0.1138,144,6707,2.1470,0.0646,0.0185,0.2260,0.0000,True
xanomeline-trospium,aripiprazole,EXTRAPYRAMIDAL DISORDER,4,1758,0.2275,222,6707,3.3100,0.0748,0.0294,0.1904,0.0000,True
xanomeline-trospium,aripiprazole,TREMOR,27,1758,1.5358,262,6707,3.9064,0.3900,0.2623,0.5797,0.0000,True
xanomeline-trospium,aripiprazole,HYPERPROLACTINAEMIA,0,1758,0.0000,90,6707,1.3419,0.0208,0.0013,0.3351,0.0063,False
xanomeline-trospium,aripiprazole,GALACTORRHOEA,0,1758,0.0000,12,6707,0.1789,0.1523,0.0090,2.5737,0.1920,False
xanomeline-trospium,aripiprazole,AMENORRHOEA,0,1758,0.0000,16,6707,0.2386,0.1153,0.0069,1.9230,0.1324,False
xanomeline-trospium,aripiprazole,SOMNOLENCE,42,1758,2.3891,236,6707,3.5187,0.6775,0.4867,0.9432,0.0211,False
xanomeline-trospium,aripiprazole,SEDATION,13,1758,0.7395,180,6707,2.6838,0.2797,0.1605,0.4875,0.0000,True
xanomeline-trospium,aripiprazole,ELECTROCARDIOGRAM QT PROLONGED,0,1758,0.0000,80,6707,1.1928,0.0234,0.0015,0.3777,0.0081,False
xanomeline-trospium,aripiprazole,URINARY RETENTION,112,1758,6.3709,59,6707,0.8797,7.6348,5.5507,10.5013,0.0000,True
xanomeline-trospium,aripiprazole,DRY MOUTH,45,1758,2.5597,56,6707,0.8349,3.1261,2.1081,4.6357,0.0000,True
xanomeline-trospium,aripiprazole,VISION BLURRED,68,1758,3.8680,71,6707,1.0586,3.7610,2.6887,5.2611,0.0000,True
xanomeline-trospium,aripiprazole,INSOMNIA,37,1758,2.1047,240,6707,3.5784,0.5858,0.4135,0.8298,0.0026,False
xanomeline-trospium,aripiprazole,HEADACHE,35,1758,1.9909,177,6707,2.6390,0.7578,0.5265,1.0908,0.1356,False
xanomeline-trospium,aripiprazole,DIZZINESS,79,1758,4.4937,171,6707,2.5496,1.8041,1.3755,2.3664,0.0000,True
xanomeline-trospium,quetiapine,NAUSEA,365,1758,20.7622,688,10869,6.3299,3.8787,3.3765,4.4556,0.0000,True
xanomeline-trospium,quetiapine,VOMITING,297,1758,16.8942,799,10869,7.3512,2.5640,2.2202,2.9611,0.0000,True
xanomeline-trospium,quetiapine,CONSTIPATION,134,1758,7.6223,355,10869,3.2662,2.4488,1.9945,3.0065,0.0000,True
xanomeline-trospium,quetiapine,DYSPEPSIA,65,1758,3.6974,293,10869,2.6957,1.3938,1.0611,1.8307,0.0170,False
xanomeline-trospium,quetiapine,DIARRHOEA,38,1758,2.1615,455,10869,4.1862,0.5116,0.3668,0.7137,0.0001,True
xanomeline-trospium,quetiapine,TACHYCARDIA,24,1758,1.3652,403,10869,3.7078,0.3664,0.2429,0.5526,0.0000,True
xanomeline-trospium,quetiapine,HYPERTENSION,25,1758,1.4221,808,10869,7.4340,0.1831,0.1230,0.2724,0.0000,True
xanomeline-trospium,quetiapine,BLOOD PRESSURE INCREASED,21,1758,1.1945,31,10869,0.2852,4.2577,2.4549,7.3843,0.0000,True
xanomeline-trospium,quetiapine,WEIGHT INCREASED,13,1758,0.7395,660,10869,6.0723,0.1195,0.0696,0.2054,0.0000,True
xanomeline-trospium,quetiapine,HYPERGLYCAEMIA,0,1758,0.0000,40,10869,0.3680,0.0760,0.0047,1.2371,0.0702,False
xanomeline-trospium,quetiapine,DIABETES MELLITUS,0,1758,0.0000,57,10869,0.5244,0.0535,0.0033,0.8656,0.0392,False
