pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
VOMITING,292,27652,1737,1432164,1445,27360,1403067,33.5377,8.7987,7.9203,9.7745,2025.6907,10.3768,9.1462,11.7729,3.1241,2.9588,3.2895,True,True,True,3
SEIZURE,6,10159,1737,1432164,1731,10153,1420274,12.3213,0.5269,0.2445,1.1352,2.7734,0.5251,0.2430,1.1346,-0.9231,-2.0322,0.1860,False,False,False,0
HYPERHIDROSIS,61,5676,1737,1432164,1676,5615,1424812,6.8841,9.0137,7.0420,11.5374,419.7482,9.3077,7.2068,12.0210,3.1587,2.7981,3.5193,True,True,True,3
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,6,21618,1737,1432164,1731,21612,1408815,26.2194,0.2475,0.1149,0.5332,15.0764,0.2447,0.1133,0.5287,-2.0126,-3.1217,-0.9035,False,False,False,0
ABDOMINAL DISCOMFORT,36,11741,1737,1432164,1701,11705,1418722,14.2401,2.5664,1.8608,3.5395,32.0416,2.6000,1.8722,3.6106,1.3575,0.8894,1.8255,True,True,True,3
GALLBLADDER DISORDER,3,922,1737,1432164,1734,919,1429508,1.1182,3.1328,1.0978,8.9399,1.7105,3.1371,1.0970,8.9711,1.6449,0.1335,3.1564,False,True,True,2
RASH MACULAR,3,3290,1737,1432164,1734,3287,1427140,3.9903,0.8762,0.3075,2.4969,0.0605,0.8760,0.3068,2.5014,-0.1898,-1.7012,1.3217,False,False,False,0
THROAT TIGHTNESS,3,1473,1737,1432164,1734,1470,1428957,1.7865,1.9589,0.6870,5.5859,0.2856,1.9609,0.6862,5.6033,0.9693,-0.5422,2.4808,False,False,False,0
MOOD ALTERED,3,1839,1737,1432164,1734,1836,1428591,2.2304,1.5685,0.5502,4.4716,0.0327,1.5697,0.5494,4.4843,0.6492,-0.8622,2.1607,False,False,False,0
TACHYPHRENIA,4,175,1737,1432164,1733,171,1430256,0.2122,21.5956,8.4797,54.9982,50.9956,21.6490,8.4806,55.2651,4.4016,3.0686,5.7345,True,True,True,3
BLEPHAROSPASM,3,417,1737,1432164,1734,414,1430013,0.5058,6.9496,2.4294,19.8799,7.8753,6.9616,2.4285,19.9562,2.7887,1.2772,4.3001,True,True,True,3
