pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
PANIC ATTACK,3,3316,1749,2154081,1746,3313,2149019,2.6924,1.2991,0.4559,3.7020,0.0138,1.2997,0.4552,3.7114,0.3778,-1.1336,1.8893,False,False,False,0
BALANCE DISORDER,3,7404,1749,2154081,1746,7401,2144931,6.0117,0.5816,0.2042,1.6568,1.0538,0.5808,0.2034,1.6579,-0.7809,-2.2924,0.7305,False,False,False,0
RASH,17,52143,1749,2154081,1732,52126,2100206,42.3374,0.4129,0.2590,0.6582,14.9445,0.4070,0.2541,0.6518,-1.2750,-1.9509,-0.5991,False,False,False,0
CEREBROVASCULAR ACCIDENT,3,11461,1749,2154081,1746,11458,2140874,9.3057,0.3757,0.1319,1.0701,3.6445,0.3744,0.1312,1.0688,-1.4112,-2.9227,0.1002,False,False,False,0
BLOOD PRESSURE INCREASED,21,15880,1749,2154081,1728,15859,2136473,12.8937,1.6673,1.0951,2.5386,4.5241,1.6756,1.0948,2.5646,0.7372,0.1274,1.3470,False,True,True,2
HEPATIC ENZYME INCREASED,9,8967,1749,2154081,1740,8958,2143374,7.2807,1.3042,0.6915,2.4600,0.2052,1.3059,0.6900,2.4716,0.3834,-0.5341,1.3008,False,False,False,0
FLUSHING,4,7166,1749,2154081,1745,7162,2145170,5.8184,0.7727,0.3070,1.9449,0.3000,0.7721,0.3060,1.9481,-0.3712,-1.7042,0.9618,False,False,False,0
VOMITING PROJECTILE,6,434,1749,2154081,1743,428,2151904,0.3524,18.6567,8.6110,40.4217,75.2722,18.7225,8.6168,40.6798,4.2031,3.0940,5.3122,True,True,True,3
ABNORMAL BEHAVIOUR,8,2018,1749,2154081,1741,2010,2150322,1.6385,5.1998,2.6553,10.1826,21.0052,5.2203,2.6571,10.2562,2.3743,1.4044,3.3442,True,True,True,3
PALPITATIONS,11,11689,1749,2154081,1738,11678,2140654,9.4909,1.2111,0.6806,2.1552,0.1080,1.2125,0.6788,2.1659,0.2766,-0.5573,1.1104,False,False,False,0
